population,net_migration,incomeLevelRank,lendingType,lendingTypeLevel
394027388.0,-3766978.0,5,Aggregates,3
21639132.0,216576.0,5,Aggregates,3
6675130418.0,0.0,5,Aggregates,3
340389142.0,-794542.0,5,Aggregates,3
463584766.0,-1180755.0,5,Aggregates,3
480544294.0,3465020.0,5,Aggregates,3
5303307.0,-271073.0,5,Aggregates,3
252097524.0,-458682.0,5,Aggregates,3
4353628.0,-262832.0,5,Aggregates,3
484720757.0,-2321857.0,5,Aggregates,3
186282227.0,11891.0,5,Aggregates,3
7510990456.0,0.0,5,Aggregates,3
418349572.0,-1772394.0,5,Aggregates,3
2236819053.0,-1337907.0,5,Aggregates,3
1106035186.0,13892345.0,5,Aggregates,3
1405396789.0,-303942.0,5,Aggregates,3
247497113.0,-1701987.0,5,Aggregates,3
3644529753.0,-6757303.0,5,Aggregates,3
1176916274.0,-888388.0,5,Aggregates,3
1387365773.0,-303942.0,5,Aggregates,3
33066727.0,958718.0,5,Aggregates,3
361751263.0,5984188.0,5,Aggregates,3
354608437.0,-3189809.0,5,Aggregates,3
110111454.0,-1411284.0,5,Aggregates,3
362664167.0,-3154465.0,5,Aggregates,3
186385902.0,-223590.0,5,Aggregates,3
977682743.0,10019730.0,5,Aggregates,3
14762138.0,-353511.0,5,Aggregates,3
6335039629.0,-15664439.0,5,Aggregates,3
468053168.0,-1207957.0,5,Aggregates,3
615054371.0,-1513781.0,5,Aggregates,3
1924028068.0,-6894219.0,5,Aggregates,3
318761762.0,2351361.0,5,Aggregates,3
619460244.0,-2050462.0,5,Aggregates,3
1357707469.0,-2150100.0,5,Aggregates,3
6833393.0,-142453.0,5,Aggregates,3
2207632770.0,1351680.0,5,Aggregates,3
1114451802.0,-2767349.0,5,Aggregates,3
700982444.0,-1492688.0,5,Aggregates,3
6604965.0,-176783.0,5,Aggregates,3
309101650.0,-636362.0,5,Aggregates,3
177185670.0,952361.0,5,Aggregates,3
264822188.0,-1739489.0,5,Aggregates,3
225330186.0,565940.0,5,Aggregates,3
1608678553.0,556267.0,5,Aggregates,3
321560922.0,-502693.0,5,Aggregates,3
12737735.0,-24524.0,5,Aggregates,3
398263895.0,-41405.0,5,Aggregates,3
192084649.0,-137303.0,5,Aggregates,3
519482148.0,-5031136.0,5,Aggregates,3
381918512.0,-4079710.0,5,Aggregates,3
9485204.0,-85621.0,5,Aggregates,3
21359026.0,-260709.0,5,Aggregates,3
917638670.0,-3012764.0,5,Aggregates,3
538246469.0,-443350.0,5,Aggregates,3
193716000.0,1236280.0,5,Aggregates,3
499113575.0,-1747428.0,5,Aggregates,3
351746884.0,-588305.0,5,Aggregates,3
1030347262.0,-476764.0,5,Aggregates,3
281076139.0,-2223153.0,5,Aggregates,3
289264324.0,-1647749.0,5,Aggregates,3
971742838.0,21750.0,5,Aggregates,3
330290716.0,3760036.0,5,Aggregates,3
362475112.0,-3897388.0,5,Aggregates,3
105378748.0,-993491.0,5,Aggregates,3
336159194.0,3610240.0,5,Aggregates,3
1092175508.0,18666748.0,5,Aggregates,3
944315187.0,-2671138.0,5,Aggregates,3
482211642.0,-4487381.0,5,Aggregates,3
2755483444.0,-5628990.0,5,Aggregates,3
1643485593.0,-1538143.0,5,Aggregates,3
534731006.0,871361.0,5,Aggregates,3
93009498.0,81694.0,5,Aggregates,3
16189727.0,-359138.0,5,Aggregates,3
450626774.0,-6197192.0,5,Aggregates,3
5012612.0,-284690.0,5,Aggregates,3
1872480731.0,-1848218.0,5,Aggregates,3
261218240.0,-436989.0,5,Aggregates,3
894486795.0,8361520.0,5,Aggregates,3
457810292.0,1324001.0,5,Aggregates,3
773285501.0,-4746268.0,5,Aggregates,3
177185670.0,890908.0,5,Aggregates,3
1529518337.0,-1908587.0,5,Aggregates,3
1679100999.0,-3460470.0,5,Aggregates,3
405624490.0,-1506741.0,5,Aggregates,3
3578748050.0,-9465052.0,5,Aggregates,3
307488390.0,2221744.0,5,Aggregates,3
281974883.0,148964.0,5,Aggregates,3
2339478706.0,-7535702.0,5,Aggregates,3
19373936.0,-349694.0,5,Aggregates,3
4410389228.0,-11234563.0,5,Aggregates,3
944315187.0,-2671138.0,5,Aggregates,3
97043270.0,-200621.0,5,Aggregates,3
1893444.0,-92527.0,5,Aggregates,3
117503859.0,-890641.0,5,Aggregates,3
403265869.0,2754570.0,5,Aggregates,3
1027290366.0,-857830.0,5,Aggregates,3
749899411.0,1533438.0,5,Aggregates,3
828219836.0,804777.0,5,Aggregates,3
237828663.0,-633594.0,5,Aggregates,3
389005125.0,-3183216.0,5,Aggregates,3
376546755.0,-3197316.0,5,Aggregates,3
1045652901.0,5053279.0,5,Aggregates,3
759106221.0,-1462971.0,5,Aggregates,3
5010312065.0,-20177619.0,5,Aggregates,3
102808053.0,-799076.0,5,Aggregates,3
372091950.0,-3144500.0,5,Aggregates,3
1631566815.0,-2770604.0,5,Aggregates,3
1769838060.0,-1940531.0,5,Aggregates,3
2772231195.0,-11637625.0,5,Aggregates,3
